bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,2.284984,,,,,,,,,,,,ae26ac36-e8fb-48b0-9bcd-4875a8c313bb,58,,"[19.0, 77.0]",18236,1,,,0.07878396,,,Right Foot,,"[57.0, 80.0]",,High Pass,38.118237,Out,David Villa Sánchez,12737.0,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,5,Barcelona,217,['a435e224-1376-4dd2-bb9a-9e8def6837a8'],9,,,,,,,,,,,,,,,Barcelona,217,00:01:09.486,Pass,
,,,,,,,,,,,,2.0576,,,,,,,,,,,,41e563e9-3a48-4980-b388-948084a2f9e2,61,,"[64.0, 1.0]",18236,1,,,2.642246,,,,,"[42.0, 13.0]",,Low Pass,25.059929,,Nemanja Vidić,20172.0,,,Throw-in,1,From Throw In,Patrice Evra,20008.0,Left Back,6,Manchester United,39,['5780f6af-2351-4b7e-a3da-fbcd4432057b'],17,,,,,,,,,,,,,,,Manchester United,39,00:01:17.232,Pass,
,,,,,,,,,,,,1.7099,,,,,,,,,,,,3ec1b37a-c7dc-4bc7-b99e-db010d9ca071,64,,"[42.0, 14.0]",18236,1,,,1.7577755,,,Right Foot,,"[35.0, 51.0]",,Ground Pass,37.65634,,Rio Ferdinand,20171.0,,,,1,From Throw In,Nemanja Vidić,20172.0,Left Center Back,6,Manchester United,39,['2429c202-12e7-47fa-8b49-33c8426b1fd4'],20,,,,,,,,,,,,,,,Manchester United,39,00:01:20.400,Pass,
,,,,,,,,,,,,1.6016,,,,,,,,,,,,57f8c5c3-a00e-4283-a628-639d93f4045a,67,,"[35.0, 51.0]",18236,1,,,-1.6124389,,,Right Foot,,"[33.0, 3.0]",,Low Pass,48.04165,,Nemanja Vidić,20172.0,,True,,1,From Throw In,Rio Ferdinand,20171.0,Right Center Back,6,Manchester United,39,['7c1dfd71-71f5-48a2-a574-7f5fcc77f4ef'],23,,,,,,,,,,,,,,,Manchester United,39,00:01:23.399,Pass,
,,,,,,,,,,,,1.5684,,,,,,,,,,,,c74c9c86-65f5-41fc-8d4a-d6993098a881,71,,"[33.0, 8.0]",18236,1,,,2.5252957,,,Right Foot,,"[9.0, 25.0]",,Ground Pass,29.410883,,Edwin van der Sar,15036.0,,,,1,From Throw In,Nemanja Vidić,20172.0,Left Center Back,6,Manchester United,39,['dc59136e-8e9a-418d-b61e-e62ed0339402'],26,,,,,,,,,,,,,,,Manchester United,39,00:01:26.186,Pass,
,,,,,,,,,,,,2.6357,,,,,,,,,,,,f4d8cea1-3f43-457c-b2b3-22f5cc77dd73,75,,"[10.0, 27.0]",18236,1,,,0.7853982,,,Right Foot,,"[60.0, 77.0]",,High Pass,70.71068,,Luis Antonio Valencia Mosquera,3267.0,,True,,1,From Throw In,Edwin van der Sar,15036.0,Goalkeeper,6,Manchester United,39,"['12c692d9-98d6-49ce-b85a-fc47c404cbae', 'a9545e37-45e1-4d8a-81f2-1a7152546075']",30,,,,,,,,,,,,,,,Manchester United,39,00:01:30.051,Pass,True
,,,,,,,,,,,,1.0129,,,,,,,,,,,,20251df5-b341-4464-9aca-c89913f4149c,78,,"[60.0, 77.0]",18236,1,,True,0.35877067,,,,,"[68.0, 80.0]",,Low Pass,8.5440035,Out,,,,,,1,From Throw In,Luis Antonio Valencia Mosquera,3267.0,Right Wing,6,Manchester United,39,['befce2c4-da8e-4b32-bf1e-bb60866c9f19'],32,,,,,,,,,,,,,,,Manchester United,39,00:01:32.727,Pass,True
,,,,,,,,,,,,0.951602,,,,,,,,,,,,8b824e3c-71ff-4cb2-8c0b-6248b69764b7,79,,"[53.0, 1.0]",18236,1,,,1.8925469,,,,,"[51.0, 7.0]",,Low Pass,6.3245554,,Sergio Busquets i Burgos,5203.0,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,7,Barcelona,217,['ae192b82-44d5-403f-a793-ee430fa9c159'],40,,,,,,,,,,,,,,,Barcelona,217,00:01:40.176,Pass,
,,,,,,,,,,,,0.787855,,,,,,,,,,,,68aeccf8-8a45-4de5-8e04-e60b6f0d6f3d,83,,"[50.0, 5.0]",18236,1,,,-2.6779451,,,Right Foot,,"[44.0, 2.0]",,Ground Pass,6.708204,,Eric-Sylvain Bilal Abidal,20177.0,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,"['a7bcc6d9-3a22-41e6-a589-607fadc552e9', 'bc7857ed-ae5c-4b18-b87d-7a8521b2f08b']",42,,,,,,,,,,,,,,,Barcelona,217,00:01:42.118,Pass,True
,,,,,,,,,,,,0.3832,,,,,,,,,,,,cb6dd34a-f791-43d6-a0b2-8c705b69b07f,86,,"[44.0, 2.0]",18236,1,,,0.0,,,Left Foot,,"[48.0, 2.0]",,Ground Pass,4.0,Incomplete,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,7,Barcelona,217,['04447120-21f2-4cfc-bfcf-405d242e3986'],43,,,,,,,,,,,,,,,Barcelona,217,00:01:43.280,Pass,
